x1,x2,cluster_id,is_leader,objective_score
43.0769,96.126,5,0,477352
33.6097,17.266,4,0,13140
70.6201,90.1493,0,0,567966
23.9282,57.8153,3,0,56777.9
50.5506,87.0554,5,0,368189
44.4553,56.0026,4,0,87570.3
88.1315,30.2446,2,0,478032
46.8518,13.5566,4,0,49779.4
32.4248,93.5953,5,0,409888
36.5062,94.3246,5,0,429202
30.4422,80.566,3,0,230714
96.7125,34.4977,2,0,655044
25.4779,32.0676,4,0,5465.32
24.0413,72.0519,3,0,143798
31.2387,37.7273,4,0,15151.4
27.0522,56.9187,3,0,55278.3
52.4238,77.2598,5,0,264091
90.2958,9.9043,2,0,516671
76.016,17.1538,2,0,287682
54.6846,25.5161,4,0,89390.3
29.013,21.2191,4,1,6874.86
62.1015,3.18185,2,1,136676
57.149,2.97206,4,0,99876.6
44.4188,14.4976,4,0,40607.8
53.4253,41.3042,4,0,91558.8
14.1964,5.8734,1,1,-2745.22
16.8769,67.1957,3,0,105451
27.0389,75.5913,3,0,176745
70.4084,18.5942,2,0,220438
96.5196,91.1305,0,0,1.00754e+06
82.3077,51.182,0,0,408373
30.6589,81.609,5,1,242665
37.8305,34.3257,4,0,24495.8
13.1036,1.70367,1,0,-6094.91
92.6437,41.6283,2,0,574572
23.8491,68.6028,3,0,117467
58.0318,47.6163,4,0,131874
58.7761,1.96959,4,0,110182
15.1515,49.9849,3,1,27095.8
53.3125,45.2251,4,0,97303.7
65.1204,82.7126,0,0,414111
86.8866,6.19903,2,0,451891
80.8972,85.0697,0,0,631867
54.1357,41.4064,4,0,95783.6
16.6069,49.7144,3,0,26524.7
65.7179,14.8314,4,0,172838
59.0205,6.31622,4,0,115234
71.7909,90.1881,0,0,581697
41.9914,48.2075,4,0,55185.2
48.4754,30.3883,4,0,58078.4
69.6801,32.2443,4,0,214399
20.3382,84.0186,3,0,263478
59.3357,69.9457,0,1,244676
82.3117,94.7553,0,0,795876
98.0915,41.2803,2,0,693237
31.1202,72.4425,3,0,153649
36.6073,70.0324,3,0,144080
92.2596,10.5954,2,0,555790
43.2984,49.085,4,0,61524.7
25.5198,81.9031,3,0,240951
34.2424,82.492,5,0,258294
88.3089,68.9377,0,0,597413
28.8198,34.8766,4,0,9958.07
91.0057,83.9568,0,0,793168
54.1513,82.4302,5,0,329389
64.4158,35.9952,4,0,165222
78.9892,75.3835,0,0,498235
84.9856,98.3501,0,0,902602
47.9158,30.6613,4,0,55720
92.1288,80.5942,0,0,776452
55.9254,26.0426,4,0,97084.1
98.162,70.3543,0,0,812919
34.0835,71.1204,3,0,147561
66.814,35.904,4,0,187409
37.3171,70.6093,3,0,150010
56.0966,29.7217,4,0,98869.2
64.5125,80.9287,0,0,388176
30.7164,11.8129,1,1,8342.08
94.0361,70.3567,0,0,721162
13.9017,63.3732,3,0,81654.5
35.0837,6.38391,1,0,13258.1
71.5995,0.111703,2,0,225872
57.9644,54.8739,4,0,152760
72.7332,14.7144,2,0,246735
85.7233,54.6625,0,0,475846
54.6692,82.4314,5,0,332467
44.5599,81.0947,5,0,269318
73.5222,4.64783,2,0,252698
23.7017,78.6678,3,0,204501
72.6195,72.2338,0,0,388057
75.7624,16.5584,2,0,284361
89.0364,78.3314,0,0,692197
63.8461,54.3578,4,0,196679
30.7191,45.0239,4,0,24564
18.614,58.967,3,0,59807.5
69.3517,71.8991,0,0,348865
48.7112,37.9359,4,0,63780.9
79.3513,68.3275,0,0,446424
61.9349,6.29283,4,0,137506
35.0617,25.9682,4,0,15953.5
